Ngày,Lần cuối,Mở,Cao,Thấp,KL,% Thay đổi,
17/11/2023,1101.19,1125.53,1129.84,1096.16,1260000.00,-0.02,
16/11/2023,1125.53,1122.50,1125.53,1114.97,687400.00,0.00,
15/11/2023,1122.50,1109.73,1132.75,1109.73,937960.00,0.01,
14/11/2023,1109.73,1100.07,1115.60,1100.07,822200.00,0.01,
13/11/2023,1100.07,1103.66,1107.91,1093.19,789440.00,0.00,
10/11/2023,1101.68,1113.89,1116.02,1101.23,1030000.00,-0.01,
9/11/2023,1113.89,1113.43,1124.78,1112.13,1050000.00,0.00,
8/11/2023,1113.43,1080.29,1113.43,1075.80,952580.00,0.03,
7/11/2023,1080.29,1089.66,1089.89,1079.42,634510.00,-0.01,
6/11/2023,1089.66,1076.78,1089.66,1076.78,692790.00,0.01,
3/11/2023,1076.78,1075.47,1082.23,1071.11,756480.00,0.00,
2/11/2023,1075.47,1039.66,1075.47,1039.66,772120.00,0.03,
1/11/2023,1039.66,1028.19,1039.66,1020.01,679890.00,0.01,
31/10/2023,1028.19,1042.40,1046.17,1025.03,755540.00,-0.01,
30/10/2023,1042.40,1054.03,1060.39,1042.40,533360.00,-0.02,
27/10/2023,1060.62,1055.45,1061.87,1037.46,692230.00,0.00,
26/10/2023,1055.45,1101.66,1101.66,1049.71,1180000.00,-0.04,
25/10/2023,1101.66,1105.90,1111.39,1100.64,539260.00,0.00,
24/10/2023,1105.90,1093.53,1107.30,1088.17,509040.00,0.01,
23/10/2023,1093.53,1108.03,1108.03,1086.54,563100.00,-0.01,
20/10/2023,1108.03,1087.85,1108.16,1073.73,658190.00,0.02,
19/10/2023,1087.85,1103.40,1104.03,1087.85,649230.00,-0.01,
18/10/2023,1103.40,1121.65,1125.27,1088.87,1040000.00,-0.02,
17/10/2023,1121.65,1145.34,1147.89,1121.65,610500.00,-0.02,
16/10/2023,1141.42,1154.73,1157.46,1140.64,676190.00,-0.01,
13/10/2023,1154.73,1151.61,1155.10,1138.99,621420.00,0.00,
12/10/2023,1151.61,1150.81,1156.73,1148.11,647180.00,0.00,
11/10/2023,1150.81,1143.69,1150.81,1138.22,543050.00,0.01,
